v1,v2,result
0.05,8.86,8.91
8.8,5.4,14.200000000000001
6.2,2.5,8.7
5.34,3.4,8.74
2.06,2.32,4.38
1.58,6.45,8.030000000000001
2.99,6.54,9.530000000000001
8.46,0.28,8.74
2.98,7.49,10.47
0.27,1.42,1.69
6.94,8.38,15.32
9.74,4.25,13.99
6.02,8.53,14.549999999999999
9.21,0.93,10.14
7.3,0.56,7.859999999999999
0.79,7.3,8.09
7.04,4.41,11.45
0.76,5.34,6.1
5.88,3.14,9.02
3.12,9.64,12.760000000000002
2.31,8.27,10.58
3.17,6.77,9.94
5.72,0.05,5.77
1.94,9.39,11.33
3.69,7.49,11.18
1.42,2.08,3.5
6.46,8.94,15.399999999999999
9.81,7.8,17.61
0.72,1.2,1.92
7.42,0.15,7.57
3.54,5.8,9.34
1.87,7.19,9.06
2.96,8.72,11.68
1.64,6.1,7.739999999999999
5.7,2.98,8.68
3.78,8.19,11.969999999999999
5.42,3.85,9.27
4.3,9.26,13.559999999999999
9.87,4.77,14.639999999999999
6.1,1.4,7.5
8.42,9.57,17.990000000000002
5.59,9.28,14.87
6.04,1.7,7.74
7.93,5.04,12.969999999999999
0.98,5.19,6.17
4.86,2.52,7.380000000000001
1.23,7.99,9.22
5.94,8.17,14.11
3.01,4.12,7.13
0.08,9.38,9.46
8.32,6.98,15.3
2.65,5.0,7.65
2.97,0.55,3.5200000000000005
7.75,3.42,11.17
8.42,3.02,11.44
6.56,4.55,11.11
7.78,6.68,14.46
2.75,2.71,5.46
5.53,3.54,9.07
7.63,5.83,13.46
0.47,9.97,10.440000000000001
7.81,5.81,13.62
9.23,2.78,12.01
1.01,2.13,3.1399999999999997
9.34,7.24,16.58
0.78,8.95,9.729999999999999
7.84,6.03,13.870000000000001
0.52,2.73,3.25
5.05,0.2,5.25
2.69,1.29,3.98
5.59,7.03,12.620000000000001
4.38,7.72,12.1
2.42,2.64,5.0600000000000005
1.1,3.99,5.09
6.93,2.45,9.379999999999999
5.15,8.19,13.34
2.42,1.21,3.63
4.96,2.05,7.01
7.88,6.78,14.66
4.69,1.73,6.42
0.63,1.04,1.67
8.74,0.52,9.26
3.5,6.24,9.74
7.28,1.87,9.15
4.35,4.29,8.64
0.83,5.9,6.73
1.7,7.67,9.37
7.76,3.03,10.79
4.02,2.74,6.76
1.45,6.86,8.31
0.42,7.26,7.68
2.12,6.25,8.370000000000001
5.24,2.89,8.13
3.21,7.47,10.68
6.74,7.95,14.690000000000001
5.26,9.16,14.42
8.19,5.24,13.43
7.93,6.84,14.77
1.14,1.31,2.45
7.03,9.66,16.69
8.68,4.77,13.45
4.72,2.04,6.76
3.25,8.95,12.2
8.1,0.93,9.03
3.26,3.82,7.08
8.1,9.37,17.47
0.53,6.25,6.78
6.42,0.82,7.24
2.95,9.93,12.879999999999999
9.93,7.48,17.41
1.83,9.17,11.0
9.64,1.97,11.610000000000001
5.22,7.16,12.379999999999999
6.24,2.07,8.31
6.74,9.48,16.22
9.55,3.89,13.440000000000001
5.61,7.0,12.61
9.89,0.56,10.450000000000001
1.25,0.05,1.3
2.17,7.71,9.879999999999999
7.71,4.57,12.280000000000001
3.91,6.4,10.31
0.68,7.26,7.9399999999999995
9.27,2.55,11.82
7.12,2.35,9.47
8.55,2.46,11.010000000000002
4.01,7.93,11.94
8.56,6.61,15.170000000000002
1.27,9.22,10.49
9.39,6.45,15.84
7.38,9.77,17.15
0.75,3.18,3.93
1.28,9.14,10.42
8.61,6.83,15.44
4.2,2.21,6.41
0.56,7.43,7.99
2.18,2.78,4.96
8.18,0.6,8.78
7.29,3.92,11.21
9.96,5.57,15.530000000000001
3.14,2.96,6.1
7.68,1.38,9.059999999999999
4.26,3.67,7.93
6.91,8.19,15.1
3.88,6.73,10.61
8.06,6.7,14.760000000000002
7.26,9.31,16.57
4.43,2.76,7.1899999999999995
4.93,4.76,9.69
0.93,4.82,5.75
7.75,3.25,11.0
5.68,9.09,14.77
9.81,9.56,19.37
1.44,5.92,7.359999999999999
4.66,2.06,6.720000000000001
9.18,8.71,17.89
4.64,4.17,8.809999999999999
5.19,4.41,9.600000000000001
6.04,8.48,14.52
9.74,0.06,9.8
4.09,3.04,7.13
6.23,5.42,11.65
6.06,0.63,6.6899999999999995
9.21,2.74,11.950000000000001
6.3,2.42,8.719999999999999
8.51,0.99,9.5
5.92,3.47,9.39
4.02,9.8,13.82
8.43,5.23,13.66
1.18,6.86,8.040000000000001
7.94,7.59,15.530000000000001
5.69,3.07,8.76
8.41,2.95,11.36
6.07,6.69,12.760000000000002
4.49,1.94,6.43
4.49,4.32,8.81
4.22,8.13,12.350000000000001
7.96,9.16,17.12
6.95,8.66,15.61
7.71,9.58,17.29
5.42,5.87,11.29
6.95,6.42,13.370000000000001
7.61,0.6,8.21
7.2,8.38,15.580000000000002
5.14,6.16,11.3
5.79,6.26,12.05
2.47,0.0,2.47
7.45,1.97,9.42
2.9,3.14,6.04
8.8,9.06,17.86
8.59,2.45,11.04
1.56,9.31,10.870000000000001
4.42,9.48,13.9
1.41,2.42,3.83
1.39,6.96,8.35
8.42,3.59,12.01
9.5,8.42,17.92
8.77,9.64,18.41
8.09,1.99,10.08
7.96,5.83,13.79
2.8,9.43,12.23
1.61,2.73,4.34
7.58,1.51,9.09
2.69,1.63,4.32
5.24,8.9,14.14
3.21,4.34,7.55
6.93,4.65,11.58
3.99,0.21,4.2
7.2,3.41,10.61
1.64,7.83,9.47
0.12,1.84,1.96
8.0,4.49,12.49
6.77,5.3,12.07
7.75,8.5,16.25
6.22,7.67,13.89
1.54,3.63,5.17
0.08,3.79,3.87
2.85,9.64,12.49
5.64,8.19,13.829999999999998
9.5,6.29,15.79
8.93,5.34,14.27
0.64,4.24,4.88
6.35,6.71,13.059999999999999
0.38,4.02,4.3999999999999995
0.19,0.3,0.49
1.32,5.17,6.49
5.93,1.5,7.43
0.78,5.89,6.67
7.28,5.52,12.8
3.01,8.8,11.81
1.18,3.8,4.9799999999999995
1.1,5.75,6.85
8.08,7.11,15.190000000000001
2.87,1.31,4.18
8.94,8.09,17.03
8.4,0.77,9.17
9.68,5.01,14.69
3.8,6.82,10.620000000000001
7.58,3.4,10.98
5.97,2.08,8.05
4.01,1.06,5.07
7.78,7.32,15.100000000000001
6.65,9.83,16.48
1.41,4.02,5.43
0.23,5.94,6.170000000000001
5.36,8.59,13.95
9.78,8.13,17.91
5.49,2.49,7.98
5.92,2.89,8.81
8.28,1.98,10.26
0.7,7.0,7.7
4.99,8.9,13.89
6.44,8.14,14.580000000000002
0.83,6.31,7.14
9.83,2.97,12.8
0.69,0.18,0.8699999999999999
2.36,6.63,8.99
0.75,8.83,9.58
2.45,7.01,9.46
8.37,4.76,13.129999999999999
7.5,4.59,12.09
7.65,2.07,9.72
9.01,5.15,14.16
6.89,3.62,10.51
6.33,3.64,9.97
6.49,1.37,7.86
7.97,1.32,9.29
2.91,7.87,10.780000000000001
2.71,3.29,6.0
9.41,7.24,16.65
9.6,1.6,11.2
6.44,1.68,8.120000000000001
1.34,4.16,5.5
3.0,1.5,4.5
8.6,5.48,14.08
7.48,2.55,10.030000000000001
8.11,2.96,11.07
9.97,8.78,18.75
4.46,1.39,5.85
5.11,5.43,10.54
2.19,1.42,3.61
5.57,9.01,14.58
4.16,4.8,8.96
6.81,1.42,8.23
5.33,9.16,14.49
6.68,7.41,14.09
8.36,1.08,9.44
1.71,6.31,8.02
4.46,0.82,5.28
3.33,5.07,8.4
5.1,8.41,13.51
8.73,5.41,14.14
7.54,0.58,8.12
1.77,3.64,5.41
0.17,2.4,2.57
0.86,6.33,7.19
5.17,2.16,7.33
0.0,2.66,2.66
9.2,6.04,15.239999999999998
5.29,3.89,9.18
1.59,5.48,7.07
2.14,5.9,8.040000000000001
0.57,2.84,3.4099999999999997
9.89,2.81,12.700000000000001
3.6,9.32,12.92
7.89,5.36,13.25
1.65,7.39,9.04
3.95,6.25,10.2
1.75,2.44,4.1899999999999995
7.71,4.25,11.96
8.21,1.05,9.260000000000002
9.38,0.6,9.98
3.39,4.71,8.1
9.03,8.85,17.88
5.77,9.86,15.629999999999999
8.72,9.48,18.200000000000003
1.4,6.6,8.0
7.17,7.15,14.32
6.79,3.68,10.47
9.45,3.59,13.04
0.11,6.09,6.2
4.86,9.08,13.940000000000001
9.86,6.07,15.93
6.68,5.66,12.34
5.31,9.75,15.059999999999999
5.03,9.06,14.09
9.42,4.26,13.68
5.83,5.22,11.05
1.79,4.66,6.45
5.71,0.35,6.06
8.55,4.92,13.47
9.53,0.16,9.69
0.03,2.18,2.21
9.12,7.7,16.82
9.66,5.83,15.49
3.99,3.07,7.0600000000000005
8.98,7.73,16.71
4.71,1.71,6.42
9.09,6.25,15.34
0.03,6.25,6.28
1.18,4.73,5.91
6.49,2.41,8.9
5.18,4.02,9.2
2.73,9.05,11.780000000000001
0.07,4.87,4.94
6.23,7.46,13.690000000000001
6.61,0.03,6.640000000000001
8.26,6.04,14.3
8.01,9.64,17.65
2.2,7.73,9.93
1.87,2.54,4.41
5.91,6.73,12.64
4.6,4.92,9.52
7.48,6.7,14.18
0.0,1.62,1.62
4.64,2.02,6.66
0.01,2.32,2.3299999999999996
6.09,9.87,15.959999999999999
8.1,9.06,17.16
9.41,7.59,17.0
8.25,7.48,15.73
3.22,0.63,3.85
3.03,3.58,6.609999999999999
8.67,1.71,10.379999999999999
7.06,1.66,8.719999999999999
1.15,8.0,9.15
5.73,6.44,12.170000000000002
6.74,5.71,12.45
9.88,0.84,10.72
9.87,5.04,14.91
2.73,3.97,6.7
3.42,0.28,3.7
5.72,4.07,9.79
5.52,0.51,6.029999999999999
6.35,1.49,7.84
2.76,0.79,3.55
9.26,1.23,10.49
6.82,0.72,7.54
7.54,1.25,8.79
9.64,3.74,13.38
3.47,3.05,6.52
5.86,4.11,9.97
7.12,0.63,7.75
9.28,5.26,14.54
8.7,8.69,17.39
0.85,3.39,4.24
8.81,4.34,13.15
7.88,8.07,15.95
6.62,3.29,9.91
9.52,3.37,12.89
6.76,3.79,10.55
4.06,0.35,4.409999999999999
1.09,8.1,9.19
1.63,5.26,6.89
3.2,5.57,8.77
5.97,1.98,7.949999999999999
9.04,2.28,11.319999999999999
7.6,2.7,10.3
1.7,5.93,7.63
6.63,1.54,8.17
8.57,1.47,10.040000000000001
5.97,6.83,12.8
3.69,9.65,13.34
5.25,5.14,10.39
6.85,5.31,12.16
9.92,8.68,18.6
4.58,5.16,9.74
9.19,2.9,12.09
3.65,1.43,5.08
5.82,7.73,13.55
5.41,7.95,13.36
9.32,6.04,15.36
5.07,5.89,10.96
8.86,4.9,13.76
9.21,8.52,17.73
2.77,1.58,4.35
8.76,0.76,9.52
8.87,3.25,12.12
5.68,0.24,5.92
4.56,3.24,7.8
9.05,5.56,14.61
4.21,1.56,5.77
8.14,8.46,16.6
9.76,5.99,15.75
2.24,3.7,5.94
4.28,1.65,5.93
4.27,3.05,7.319999999999999
7.56,7.61,15.17
5.24,8.88,14.120000000000001
7.23,8.43,15.66
2.68,6.02,8.7
4.37,9.67,14.04
9.79,6.54,16.33
7.11,8.58,15.690000000000001
4.07,3.74,7.8100000000000005
7.64,7.19,14.83
8.54,8.16,16.7
0.88,4.12,5.0
7.68,3.35,11.03
8.82,8.75,17.57
3.94,1.23,5.17
7.69,1.34,9.030000000000001
5.69,7.79,13.48
9.43,0.33,9.76
2.16,9.12,11.28
4.66,8.0,12.66
9.44,9.36,18.799999999999997
8.02,2.36,10.379999999999999
3.02,9.44,12.459999999999999
8.49,5.3,13.79
1.35,4.17,5.52
3.79,8.89,12.68
5.03,3.86,8.89
6.32,1.97,8.290000000000001
2.74,5.91,8.65
0.82,2.84,3.6599999999999997
1.46,1.67,3.13
3.43,8.07,11.5
6.31,5.92,12.23
7.13,2.89,10.02
2.02,2.49,4.51
3.48,5.11,8.59
4.47,1.34,5.81
6.96,2.3,9.26
9.12,7.51,16.63
8.35,6.87,15.219999999999999
2.72,9.15,11.870000000000001
7.93,5.95,13.879999999999999
1.08,1.8,2.88
4.8,7.44,12.24
1.28,5.41,6.69
0.67,8.43,9.1
7.41,1.67,9.08
7.58,6.43,14.01
1.1,4.08,5.18
6.77,1.97,8.74
8.91,8.62,17.53
0.53,5.94,6.470000000000001
5.49,7.9,13.39
1.24,2.28,3.5199999999999996
0.5,0.15,0.65
7.23,8.2,15.43
5.09,9.62,14.709999999999999
5.52,9.05,14.57
8.72,5.15,13.870000000000001
2.3,8.31,10.61
6.47,1.15,7.619999999999999
9.17,0.48,9.65
6.79,1.55,8.34
0.82,3.44,4.26
8.02,9.36,17.38
5.68,6.07,11.75
1.83,2.15,3.98
1.92,4.34,6.26
4.06,6.56,10.62
6.49,7.39,13.879999999999999
4.58,9.32,13.9
8.92,5.3,14.219999999999999
9.5,3.78,13.28
1.81,3.55,5.359999999999999
7.74,6.49,14.23
1.1,1.24,2.34
6.22,3.76,9.98
2.85,2.41,5.26
4.72,1.01,5.7299999999999995
2.76,3.89,6.65
4.11,3.35,7.460000000000001
3.64,5.76,9.4
5.65,1.81,7.460000000000001
9.15,4.84,13.99
7.01,1.36,8.37
0.1,5.13,5.2299999999999995
5.49,1.73,7.220000000000001
4.37,1.4,5.77
9.81,1.29,11.100000000000001
4.27,4.59,8.86
2.25,5.62,7.87
0.05,8.94,8.99
5.98,0.61,6.590000000000001
0.9,5.88,6.78
6.69,6.56,13.25
1.2,0.55,1.75
3.21,7.22,10.43
9.38,0.32,9.700000000000001
8.13,4.71,12.84
0.52,4.95,5.470000000000001
1.23,5.97,7.199999999999999
9.42,0.87,10.29
9.48,4.55,14.030000000000001
7.95,3.96,11.91
5.59,7.51,13.1
3.89,3.57,7.46
8.57,6.21,14.780000000000001
1.93,1.05,2.98
9.24,2.77,12.01
2.05,5.0,7.05
0.29,0.33,0.62
9.49,1.48,10.97
7.04,0.65,7.69
0.58,0.73,1.31
7.5,2.0,9.5
2.89,4.17,7.0600000000000005
5.93,9.94,15.87
3.29,2.06,5.35
5.81,6.05,11.86
0.64,3.62,4.26
3.89,9.44,13.33
9.89,5.36,15.25
4.52,0.74,5.26
8.58,0.84,9.42
1.51,2.48,3.99
4.2,8.07,12.27
3.2,8.92,12.120000000000001
8.19,4.77,12.959999999999999
3.05,3.16,6.21
5.58,2.68,8.26
8.5,2.52,11.02
1.36,1.84,3.2
3.53,4.73,8.26
3.97,6.92,10.89
6.14,8.08,14.219999999999999
5.07,4.27,9.34
1.36,8.43,9.79
5.51,9.39,14.9
1.78,7.25,9.03
4.05,5.43,9.48
1.75,8.82,10.57
0.45,4.03,4.48
0.4,9.89,10.290000000000001
0.03,5.13,5.16
9.81,8.19,18.0
6.67,6.46,13.129999999999999
8.71,2.24,10.950000000000001
3.47,3.39,6.86
9.54,4.87,14.41
7.82,2.03,9.85
7.45,6.72,14.17
2.32,0.68,3.0
5.58,2.39,7.970000000000001
5.22,3.08,8.3
2.72,9.23,11.950000000000001
2.9,4.58,7.48
6.88,6.59,13.469999999999999
0.93,2.09,3.02
1.4,8.49,9.89
6.59,2.17,8.76
0.48,2.0,2.48
3.95,9.95,13.899999999999999
0.12,9.78,9.899999999999999
3.12,4.97,8.09
1.54,3.08,4.62
0.43,1.37,1.8
3.51,4.43,7.9399999999999995
8.88,4.77,13.65
5.92,8.77,14.69
9.58,2.52,12.1
7.03,8.67,15.7
7.41,3.83,11.24
9.5,7.96,17.46
5.88,9.02,14.899999999999999
9.23,2.28,11.51
2.69,7.08,9.77
7.05,4.84,11.89
6.0,5.91,11.91
2.54,4.28,6.82
6.5,9.05,15.55
1.77,5.58,7.35
3.22,9.4,12.620000000000001
5.2,5.9,11.100000000000001
4.2,4.39,8.59
7.49,9.71,17.200000000000003
7.78,1.83,9.61
7.64,6.14,13.78
0.14,5.95,6.09
9.92,0.35,10.27
5.39,3.62,9.01
9.8,5.82,15.620000000000001
1.74,0.22,1.96
4.95,2.43,7.380000000000001
4.67,3.22,7.890000000000001
8.32,8.05,16.37
1.17,1.99,3.16
0.25,6.05,6.3
7.39,2.89,10.28
1.88,9.14,11.02
8.81,2.74,11.55
4.97,1.07,6.04
9.07,7.42,16.490000000000002
6.18,2.04,8.219999999999999
2.87,9.83,12.7
7.78,9.39,17.17
6.58,1.57,8.15
6.52,4.06,10.579999999999998
6.85,5.02,11.87
5.0,0.57,5.57
3.08,5.69,8.77
8.84,5.71,14.55
1.21,3.9,5.109999999999999
3.39,5.33,8.72
9.73,7.77,17.5
2.03,1.11,3.1399999999999997
6.92,5.82,12.74
1.1,3.18,4.28
3.17,4.97,8.14
4.31,7.99,12.3
8.31,5.9,14.21
7.81,7.41,15.219999999999999
1.67,8.98,10.65
3.23,4.36,7.59
3.93,6.24,10.17
3.82,6.41,10.23
9.62,9.39,19.009999999999998
2.34,5.51,7.85
0.64,9.03,9.67
3.38,1.17,4.55
6.8,6.01,12.809999999999999
4.15,0.2,4.3500000000000005
4.19,2.38,6.57
3.48,5.29,8.77
3.21,0.65,3.86
9.12,9.44,18.56
9.21,8.67,17.880000000000003
5.84,3.65,9.49
5.04,9.18,14.219999999999999
0.78,0.75,1.53
3.48,3.4,6.88
7.76,4.75,12.51
8.77,8.79,17.56
1.01,4.1,5.109999999999999
4.98,8.29,13.27
3.94,1.89,5.83
9.21,4.91,14.120000000000001
6.33,9.07,15.4
7.74,3.16,10.9
2.89,7.4,10.290000000000001
1.5,2.7,4.2
8.28,4.87,13.149999999999999
8.6,4.02,12.62
0.26,7.06,7.319999999999999
3.29,4.67,7.96
0.74,2.13,2.87
5.46,9.96,15.420000000000002
7.83,3.08,10.91
0.51,3.02,3.5300000000000002
7.07,2.09,9.16
7.88,0.15,8.03
7.94,4.18,12.120000000000001
6.41,5.07,11.48
5.32,4.78,10.100000000000001
9.41,5.21,14.620000000000001
2.03,8.19,10.219999999999999
8.06,0.92,8.98
4.08,7.12,11.2
3.12,4.37,7.49
9.05,4.0,13.05
3.61,1.17,4.779999999999999
8.88,4.81,13.690000000000001
3.41,2.78,6.1899999999999995
5.93,9.75,15.68
7.82,9.6,17.42
5.55,3.6,9.15
1.32,1.02,2.34
4.15,2.05,6.2
7.55,7.76,15.309999999999999
5.44,2.14,7.58
2.04,0.12,2.16
6.2,7.18,13.379999999999999
2.21,6.69,8.9
9.13,1.12,10.25
6.66,7.43,14.09
0.29,5.64,5.93
0.48,0.43,0.9099999999999999
6.72,1.12,7.84
3.25,4.53,7.78
2.32,4.21,6.529999999999999
2.25,7.63,9.879999999999999
5.41,8.52,13.93
4.79,2.22,7.01
7.22,2.88,10.1
5.26,3.69,8.95
5.51,0.48,5.99
2.58,6.97,9.55
4.64,7.78,12.42
9.94,9.93,19.869999999999997
4.63,9.35,13.98
4.44,3.94,8.38
9.76,8.35,18.11
7.71,9.23,16.94
9.07,6.82,15.89
6.2,1.37,7.57
5.05,8.47,13.52
2.18,6.52,8.7
3.3,0.82,4.12
8.23,2.57,10.8
9.19,1.84,11.03
1.93,7.94,9.870000000000001
1.41,4.66,6.07
3.92,4.04,7.96
8.11,9.13,17.240000000000002
2.55,2.08,4.63
5.42,7.46,12.879999999999999
9.01,6.41,15.42
6.74,4.96,11.7
0.05,0.98,1.03
0.63,2.8,3.4299999999999997
6.84,9.15,15.99
6.62,1.97,8.59
6.69,8.42,15.11
5.35,5.64,10.989999999999998
4.01,4.99,9.0
3.96,5.04,9.0
3.7,9.02,12.719999999999999
4.48,0.51,4.99
8.14,3.04,11.18
1.95,2.51,4.46
9.93,4.84,14.77
5.67,3.02,8.69
3.84,3.48,7.32
2.19,1.19,3.38
8.76,8.24,17.0
8.08,2.35,10.43
0.69,1.66,2.3499999999999996
2.35,1.87,4.220000000000001
7.12,3.5,10.620000000000001
5.13,0.08,5.21
2.31,8.18,10.49
5.0,8.68,13.68
5.86,7.73,13.59
1.28,9.06,10.34
5.26,3.61,8.87
9.05,2.32,11.370000000000001
0.75,8.53,9.28
9.19,2.87,12.059999999999999
6.1,5.01,11.11
2.87,2.05,4.92
9.98,7.09,17.07
9.89,9.98,19.87
7.38,5.48,12.86
9.36,2.77,12.129999999999999
7.45,6.37,13.82
